equipment_name,topic,chunk_text
1633EA-SBT-AMO,Brief Description of Service/Equipment - ,"1
1633 EA ACOUSTIC ELECTRONICS -- BRIEF DESCRIPTION OF EQUIPMENT
                                                                 
                                                                 
The 1633 EA Acoustic Electronics Cartridge is a single-conductor
electronics cartridge responsible for the data acquisition,
downhole analysis, and telemetry interface for the 1421 XA Micro
CBL or the 1424 XA Segmented Bond Tool.
The 3504 communications protocol specifications govern the
telemetry interface with the surface system and are briefly
summarized in DATA ACQUISITION, document component 130363-995.*  
The 1633 EA cartridge--attached to the top of the SBT or Micro CBL
acoustic mandrel--controls and receives signals from the mandrel. 
Acquired data from the 1633 EA is sent to the surface at a rate of
20.8 kbits/s.  Acquisition tables dictate the way in which the
data is acquired for a given request from the surface system.
Acoustic data is acquired simultaneously from two receivers. 
This is accomplished by the two-channel 8-bit A/D card under the
control of the CPU card, both of which are located in the flasked
electronics section of the 1633 EA cartridge.  
Figure 935-1 shows the major components of the 1633 EA.
During an acquisition sequence, the acoustic mandrel is
configured to select a transmitter, two receivers, and gains
based on the acquisition table.  Control of the mandrel is
accomplished through a serial communication link.
*
Documentation found in CLS Manual behind the Cement Bond Log
tab
2
1633 EA ACOUSTIC ELECTRONICS -- BRIEF DESCRIPTION OF EQUIPMENT
                                                                 
                                                                 
Figure 935-1  1633 EA System 
    Block Diagram"
1633EA-SBT-AMO,Circuit Description - POWER SUPPLY CHASSIS R149266 2.1 POWER SUPPLY ASSEMBLY . . . . . . . . . . . . . .,"1

3
1
CJ3
CONNECTOR
BOARD
CJ1
BOARD
LOW-VOLTAGE POWER
+15 V, -15 V, +5 V,
C142767
C154459
C143328
CONNECTOR
BOARD
FLASK
INTERFACE
BOARD
RUC
1
J
150 V
GND
SUPPLY
SUB
BOTTOM

CONDUCTOR
TRANSCEIVER
SINGLE
A148669
BOARD
TERMINAL
J
4
2
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION


3
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION 

POWER SUPPLY ASSEMBLY
Refer to schematic C149266-100.
The power supply assembly provides regulated +15 V, -15 V, and +5 V
for the 1633 EA cartridge as well as for the mandrel.*
The 150-VDC cablehead supply comes down on conductor 7 and is
taken off the Flask Connector Board C143328 on terminal T18.  The
150 VDC is routed to a filter network on the power supply
assembly consisting of L1, C12, R6, and C11 which drops the
voltage down to approximately 140 VDC.
The voltage is then routed through a negative voltage protector
diode (D13) to the 160-V regulator circuit.  This circuit,
comprised of Q3, Q4, R5, C10, and D14, provides over-voltage
protection.  The maximum voltage seen on the output of the
regulator is approximately 157 VDC, but under normal operation is
approximately 135 VDC.
This voltage is applied to the primary of the self-oscillating
power supply.  There an imbalance bias voltage is set through R4
that turns on first Q1.  Feedback windings then provide the
continual switching for Q1 and Q2 necessary to sustain
oscillation.
One secondary winding of T1 provides an output that is rectified
(by bridge D1, D2, D3, D4) to supply approximately +24.5 VDC and
-24.5 VDC to the input of the +15 V and -15 V regulators,
respectively.  The other secondary winding provides an output
that is rectified (by bridge D5, D8) to supply approximately +13
VDC to the input of the +5 V regulator.
The output for all the micropac regulators (+15 V, -15 V, +5 V)
should be within 1% of the nominal output voltage.  The inputs to
these regulators are filtered by 82-microfarad caps (C1, C3, C4).
The regulator output is filtered by 1-microfarad caps (C5, C7,
C8).
The 1633 EA will draw approximately 85-90 mA from the surface
power supply when not connected to the mandrel.
*
Mandrel refers to the 1424 XA or 1421 XA instrument that is
run with the 1633 EA.
NOTE:
Early production tools contained additional components to
support a - 5 Vdc power supply.  These have been removed

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION"
1633EA-SBT-AMO,Circuit Description - 2.2 SINGLE-CONDUCTOR TRANSCEIVER CARD B142767 . . . .,"2.2.1
RECEIVER SECTION
4
2.2.2

SINGLE-CONDUCTOR TRANSCEIVER CARD B142767
Refer to schematic C142767-100.
The Single-Conductor Transceiver Card is responsible for the
reception and transmission of Manchester data on the wireline.
As a single conductor instrument, the 1633 EA communication
signals ride on the 150-VDC cablehead voltage.  The 150 VDC comes
in on conductor 7, referenced to 10, at the top of the 1633 EA and
is routed to both the power supply filter and the Single-
Conductor Card (at P4-14).
2.2.1
RECEIVER SECTION
Data sent down to the 1633 EA is coupled off the incoming 150 VDC
on P4-14 by C1 into the first stage of the receiver section.  The
first stage of amplification (1/2 U1) has gain adjustment (R28
and R3) which can be adjusted accordingly for given line
conditions.  (Refer to REPAIR/MAINTENANCE PROCEDURE, document
130364-956.)
The signal is then coupled by C7 to the second stage (1/2 U1) and
by C10 to the third stage (1/2 U2), with each stage having a
fixed gain.
The other half of U2 acts in the last stage as a comparator which
is switched by the received signal that provides the logic level
necessary for the Unipolar Data In (UDI) to the Manchester chip
on the CPU Board.  The UDI signal is routed from the Single-
Conductor Board at P4-6.
2.2.2
TRANSMITTER SECTION
When transmitting data back to the surface system, a Bipolar Zero
Out (BZO) signal from the Manchester chip on the CPU Board

C143318 is routed to the Single-Conductor Card via P4-3.  This
signal provides the switching logic to the hex FET U3.
The output driving FET's of U3--tied to R25 and R26--switch the
+15-V drive voltage to ground and to +15 V, depending on the
transmitted data bits. This signal is coupled to the 150-VDC line

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION"
1633EA-SBT-AMO,Circuit Description - 2.3 RUC INTERFACE BOARD C154459 . . . . . . . . . . .,"RUC INTERFACE BOARD C154459 5
2.3.1
GR AND NEUTRON DATA 5
2.3.2

RUC INTERFACE BOARD C154459
The RUC Interface board acts as a conduit for information from
other instruments in the logging string to the CPU in the 1633 EA.
Four Remote Unit Controller (RUC) chips on the board store
accumulated data from the 1309 XA GR and the 2420 XA (or 2435 XA)
Neutron instruments until the CPU is able to retrieve the data,
process the information, and transmit it uphole.  In addition,
the cable head voltage and the CCL signal from the 2330 XA or
2346 XA instrument are routed through the RUC Interface board.
Note
The RUC chip is a custom-designed
integrated circuit developed by
Western Atlas.  A detailed breakdown
of the internal circuitry may be
found in any one of the maintenance
manuals for the 8000 series PCM
Production Logging tools.  Only a
generalized description of the chip's
function will appear here.
2.3.1
GR AND NEUTRON DATA
Tool measurement data (GR, SSN, and LSN signals) enter the RUC
Interface board on the appropriate pin at J1.  (See schematic
C154459-100.)  Each signal is routed through a 1-kilohm resistor
and a Schmitt trigger inverter (IC-5) which converts the signal
to a square wave and improves noise immunity.  The output from
the Schmitt trigger feeds into the RUC 16-bit counter at pin 2
(of IC2, IC3, or IC4) where tool measurement data accumulates.
Each RUC chip has a unique address strapped to pins 9 through 13.
By means of an 8-bit address/command byte that is composed of a
5-bit address and a 3-bit command, the CPU (IC-1 on CPU board

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION
2.3.1
GR AND NEUTRON DATA (CONTINUED)
To issue an address/command byte to the RUC chips, the CPU places
a high on the RCMD line (J1-3) and sends the address/command byte
to pin 14 of each RUC via the RDTA line (J1-5).  Eight pulses on
the RCLK line (J1-3) from the CPU ensure that the byte is clocked
into each RUC, after which the RCMD line goes low.  Figure 945-2
shows the signal path of each line from the RUC Interface board
to the CPU board.
The RUC whose address strapping (on pins 9-13) matches the 5-bit
address in the address/command byte is the RUC that responds to
the CPU's request for data.  The internal 16-bit counter on the
RUC is reset after the low-order bits have been loaded into the
register.  The internal counter than continues to accumulate data
counts for the next data request.
Upon receiving a READ command from the CPU, the RUC loads its
data into the RUC 8-bit shift register.  The 8 high-order bits
are loaded first followed by the 8 low-order bits.  The CPU sends
17 clock pulses down the RCLK line to clock data out RUC pin 14,
over the RDAT line, and to the CPU for processing.
The RUC counter remains empty until the next address/command byte
is clocked into RUC pin 14, at which time the counter begins to
accumulate tool measurement data again.
2.3.2
CCL DETECTION CIRCUIT
To compensate for various CCL magnet strengths as well as varying
casing sizes, R1 is used to adjust CCL signal amplitudes coming
into the RUC interface board at J1-13.  The CCL signal is then
converted to a unipolar signal by full-wave active rectifier IC7.
In the next stage, IC8--with a fixed gain of 3--amplifies the CCL
signal before it is sent to the CPU board.
The CCL signal is multiplexed by IC9 with cablehead voltage and
routed from the RUC interface board via J1-14 to the CPU board
where it is converted by the on-board A/D on the microcontroller.
The A/D is a 10-bit converter but is used only as a 9-bit
converter (0 min to 511 max).
The CCL signal is sampled each subcycle in an acquisition
sequence.  These values are averaged to yield a composite value
that is included in the data package sent to the surface.
Cablehead voltage is divided down by R5/R6 and routed through IC6
to IC9, where it is multiplexed with the CCL signal and then
routed from the RUC interface board via J1-14.  Tool software
controls the output of IC1, which controls the multiplexer
selection of CCL or cablehead voltage.

RUC INTERFACE BOARD C154459  (CONTINUED)"
1633EA-SBT-AMO,Circuit Description - FLASKED ELECTRONICS ASSEMBLY D151202 3.1 CONNECTOR DISTRIBUTION BOARD B143320,"3

8
3
J1
RCMD
RCLK
RDTA
CCL OUT
CABLEHEAD VOLTAGE IN
7
9
8
3 

8-BIT A/D BOARD D142762 8

CONNECTOR DISTRIBUTION BOARD B143320
Refer to schematic C143320-100 or to drawing D151202.
This board serves as a distribution center for the I/O Bus as
well as a channel for signals entering and leaving the flasked
electronics.  Three I/O Bus inlets--avaliable through CJ2, CJ5,
and CJ6--allow peripheral devices to be tied to the 20-conductor
I/O Bus.
The two-channel 8-bit A/D Card D142762 is connected (via P2 on
the A/D board) to the Distribution Board at CJ5.
Connector J1 on the CPU Board is tied to the Distribution Board
at CJ3 and CJ4.
Power supplies, grounds, and communications and auxiliary signals
which must extend outside the flasked electronics are routed
through CJ1.

8-BIT A/D BOARD D142762
Refer to schematic D142762-100.
The 8-Bit A/D Board has two channels that allow simultaneous
conversions of two receive signals, and an I/O Interface Bus that
provides data transfer to the CPU Board.  The following
description given for channel 1 is identical in operation to the
second channel (shown on the bottom half of schematic D142762-
100).
The selected bipolar receive signal enters the 8-Bit A/D Card via
terminal T1 (referenced to T2) at the input of operational
amplifier IC1 which has unity gain.  A resistor network (R3-R9
and R41) allows varying amounts of signal attenuation to be
selected by 8-to-1 multiplexer IC2, which is under the control of
the latched bits of IC10.  The signal output of the multiplexer
is routed to IC3 which has a fixed gain of 2.
The signal output of IC3 rides on the 2.5-V reference voltage of
IC23 to provide the necessary offset voltage for the A/D system
which requires unipolar data to the input of the A/D (IC5).  This
unipolar data is provided via the output of IC4 to the input of
the A/D (IC5-28).

8-BIT A/D BOARD D142762  (CONTINUED)
The A/D +ref (IC5-17) is supplied by IC6 (typically 5.05 V) and
the -ref (IC5-27) is tied to ground.  During an acquisition
cycle, conversion clocks (IC5-1) are provided to the A/D via the
I/O Bus from the CPU Board.  Figure 945-3 shows a timing diagram
for the A/D.
The conversion clock present at the A/D (IC5-1) consists of
31.25-ns wide low-level pulses at a frequency determined by the
sample rate set in the data acquisition table.  The 31.25-ns
pulse provides the data conversion, and the remainder of the
clock cycle (period) writes converted data into the 4 K X 9 FIFO
(IC9).  The number of conversion pulses for a given subcycle
(again refer to DATA ACQUISITION) is dictated by the data
acquisition table.
An I/O Bus--consisting of a 4-bit address bus, 8-bit data bus,
I/O line, and conversion clock--allows the A/D to interface with
the CPU Board.  (See Section 3.3.4 for more detail on the I/O
Bus.)
One half of IC7 provides decoding for the selected channel, while
the second half of IC7 handles decoding for the specific device
on the selected channel.
Status information such as Empty Flag (IC9-21), Full Flag (IC9-
8), and gain settings can be read from the A/D board through the
buffer IC8.
An onboard control latch (IC10) controls devices on its
associated channel such as the variable attenuation (IC2), FIFO
Reset (IC9-22), and FIFO Retransmit (IC9-23).
The conversion clock is inverted and buffered by IC20 to provide
the necessary drive and logic for the A/D (IC5-1) and FIFO Write

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION


11
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION"
1633EA-SBT-AMO,Circuit Description - 3.3 CPU BOARD . . . . . . . . . . . . . . . . . . . .  11,"CPU BOARD 11
3.3.1
CPU SPECIFICATIONS
11
3.3.2
MEMORY MAP
12
3.3.3
COMMUNICATION INTERFACE 14
--
DECODER SECTION 14
--
ENCODER SECTION 16
3.3.4
I/O BUSS
19
3.3.5
A/D CONTROL 20
3.3.6

CPU BOARD C143318
Unless otherwise noted, all component references in this section
pertain to schematic D143318-100.
3.3.1
CPU SPECIFICATIONS
PROCESSING UNIT:
Intel LA80 C196 KB-12 16-bit Microcontroller
@ 12 MHz
FIRMARE:
32 K X 8 EPROM Mitsubishi
(This EPROM is programmed for SBT only.  Future
EPROM will include Micro CBL.)
RAM:
64 K X 8 Static RAM (Two 32 K X 8 pages)
TELEMETRY:
6408 Manchester Decoder/Encoder (20 Kbits/s)

SERIAL CHANNEL:
3504 Instrument Bus
Acoustic Serial Channel
CLOCK
DATA
READ/WRITE
SYNC
A/D CONTROL:
Programmable Sample Rate (62.5 kHz to 8 MHz)
Programmable Sample Count (1 to 4095)
EXTERNAL BUS:
8-Bit Data Bus
4-Bit Address Bus
I/O Control
The CPU Board controls data acquisition, downhole data analysis,
and communication with the surface system.  Several system paths
allow the CPU Board access to its various data and support
circuitry.  These system paths can be divided up into the
following functional blocks:
Memory Map
Communication Interface
I/O Bus
A/D Control
Serial Communications
Each path is described separately in Sections 3.3.2 through 3.3.6

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION
3.3.2
MEMORY MAP
The following shows a breakdown of the memory map using the Intel
LA80 C196 KB-12 microcontroller.  Figure 945-4 provides a graphic
memory map of the CPU.
1)
Internal RAM
0000 H - 00 FFH
A)
Special Function Registers and I/O
Control Registers
0000 H - 0019 H
B)
Register File (user defined)
. . . .
001 AH - 00 FFH
2)
I/O Address Space
0100 H - 0 FFFH
A)
Undecoded I/O Space 0100 H - 07 FFH
B)
Decoded I/O Devices 0800 H - 0 FFFH
-
I/O Interface Bus
08 X0 H - 08 XFH
Device 1
08 X0 H - 08 X3 H
Device 2
08 X4 H - 08 X7 H
Device 3
08 X8 H - 08 XBH
Device 4
08 XCH - 08 XFH
-
Sample Rate
09 XXH
-
Control Latch
0 AXXH
-
Currently Unused 0 BXXH - 0 DXXH
-
TX Data Registers
0 FX0 H - 0 FX1 H
-
RX Data Registers
0 FX2 H - 0 FX3 H
-
Sample Count 0 FX4 H - 0 FX5 H
-
Currently Unused 0 FX6 H - 0 FX7 H
-
Undecoded
0 FX8 H - 0 FXFH
3)
Eprom Address Space
1000 H - 7 FFFH
A)
Not currently used
1000 H - 1 FFDH
B)
Eprom Usage (24 K currently used)
. .
1 FFEH - 7 FFFH
-
Address/Data Bus Port 3 and 4
.
1 FFEH - 1 FFFH
-
Lower 8 Interrupt Vectors
(2 special)
2000 H - 2012 H
-
Reserved Intel 2014 H - 2017 H
-
Chip Configuration Byte
. . . .
2018 H
-
Reserved Intel 2019 H
-
Eprom Security Key 2020 H - 202 FH
-
Upper 8 Interrupt Vectors
. . .
2030 H - 203 EH
-
Reserved Intel 2040 H - 207 FH
-
User Program 2080 H - 7 FFFH
4)
External Ram: 64 K
8000 H - FFFFH
(Two 32 K pages selected by P1.3)
13
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION
3.3.2
MEMORY MAP  (CONTINUED)
3.3.3
COMMUNICATION INTERFACE
Communication is handled through an interrupt-driven system.  The

Kbits/second) for receiving and transmitting.  The 6408 is
comprised of a Decoder and Encoder as described in the following
sections.
DECODER SECTION
---------------
A dual binary counter (IC20) divides down a 16-MHz base
oscillator (IC28) to provide the 250-kHz source clock to the
decoder clock input (IC11-5).  Data is received serially through
the buffer-protected UDI input of the 6408 (IC11-8) which
monitors the data for a valid sync pattern.
Once a valid sync pattern is recognized, the take data output
(IC11-3) goes high, and if the sync pattern is that of a command
type the command data sync line (IC11-10) will also go high.  The
falling edge of the take data and command sync lines causes a
corresponding interrupt to be triggered through the flip-flop
(IC19, pin 5 & 1).
If the word received is of a data type, the flip-flop output
(IC19-9) set by take data will be the only interrupt set which is
then responded to by the microcontroller.  If the word received
is of a command type, then both outputs of the flip-flop (IC19-
9&12) are set and the microcontroller--handling the interrupts on
a priority basis--recognizes the word received as a command.
The microcontroller responds to a data-received interrupt
(command or data type) by reading the word from the parallel
outputs of the shift registers (IC14 & IC13). The interrupts
generated by a word being received are cleared when the reset
lines (IC19-6&2) are pulled low for the duration of the READ
cycle on the low byte of the word received (stored in IC14).

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION


16
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION
3.3.3
COMMUNICATION INTERFACE  (CONTINUED)
ENCODER SECTION
---------------
The base 16-MHz oscillator (IC28) is divided down through the
dual binary counter (IC20) and the encoder clock (IC11-23) is
selected (by jumper X to Y) to deliver a 250-kHz clock.
The encoder is enabled when the microcontroller (IC1) sets a
control latch bit (IC27-2) high, which is gated with the system
reset (IC31-3).  This gating is required to keep the T2 mode
encoder disabled until the microcontroller has properly
initialized setups upon power up.
The 6408 encoder shift clock (IC11-2) is gated with the encoder
of the 6409 (IC12)--which is not used in the 1633 EA--to provide a
shift clock output on IC32-11.  When the encoder is enabled, the
bit counter IC17 will be clocked.
Note
The 6409 (IC12) is only used on the 1667 EA
for high-speed data transmission to the
surface.
Before the encoder is enabled for a data transmission, the
buffered parallel-to-serial shift registers (IC16 & IC15) are
loaded with the first two words (16 BIT) to send to the surface.
The shift registers have a buffered latched input which allows
the word being sent to be loaded, as well as the word following.
A control latch bit (IC27-4) must be set low when the first word
is loaded into the shift registers (IC16 & IC15) to allow the
word to be transferred to the output latches of the shift
register.  The control latch bit is then set high and the second
word is loaded into the input buffer of the shift registers.

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION
3.3.3
COMMUNICATION INTERFACE  (CONTINUED)
ENCODER SECTION  (Cont'd)
-------------------------
When the encoder is disabled, the output of gate IC32-3 holds the
bit counter (IC17) in a load mode and the word boundary indicator
(IC18) in a reset mode.  Enabling the encoder causes the bit
counter to be incremented by the gated encoder shift clock (IC32-
11).
When the 16th bit has been clocked, the falling edge of the bit
counter (IC17-7) causes the word boundary indicator (IC18-8) to
go low, which causes the following events to occur:
1)
A low output on IC18-8 results in a low-level output on
IC31-11 which loads in the next word from the input-to-
output buffers on IC16 & IC15.
2)
The falling edge of IC18-8 generates an encoder
interrupt, causing a high level on IC18-12 which is
recognized on the NMI (IC1-7) input of the
microcontroller.  This interrupt prompts the
microcontroller to load the next word of the transmission
block into the input buffers of the shift registers (IC16
& IC15).  When the low byte of the word is loaded (WRITE
to IC16-12), the encoder interrupt (IC18-12) is disabled
by the reset line (IC18-2) being pulled low for the
duration of the WRITE cycle.
3)
The low output of the word boundary indicator (IC18-8)
also resets the indicator and the bit counter by pulling
low the indicator's reset line (IC18-6) and the bit
counter's load line (IC17-11).  The bit counter is
reloaded with a value of zero before the next word is
shifted.
The above process occurs for each word transmitted to the surface
until the last word of the data block is transmitted.  Due to the
double buffering in the shift registers (IC16 & IC15), it is

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION


19
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION


3.3.4
I/O Bus
A universal 20-conductor bus allows the CPU to access data from
peripheral boards tied to the bus.  This 20-conductor I/O bus is
made available to peripheral boards through a Connector
Distribution Board (B143320) connected to the CPU Board.  See
Section 3.1 for a description of the Connector Distribution
Board.
Below are the bus specifications:
-
An I/O control line (IC41-11) which enables the decoding
logic on each board connected to the bus
-
A 4-bit address bus (IC41, pins 2,4,6, and 8) which uses the
upper two bits (AD3 and AD2) to decode the particular board
and the lower two bits (AD1 and AD0) to decode the specific
device on the addressed board
-
An 8-bit data bus (IC40, pins 2 through 9) which serves as a
bi-directional path for data transfer
-
A conversion clock (IC41-13) which is available for the A/D
modules connected to the bus but is active only during an
acquisition cycle
-
Power supplies and grounds:  +15 V, -15 V, +5 V, DGND, and
AGND.

The 8-bit, bi-directional data bus is buffered through an octal
transceiver (IC40).  The 4-bit address bus is buffered by one
half of an octal buffer (IC41), with the I/O control line and
conversion clock buffered in the other half.

1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION
3.3.5
A/D CONTROL
The sample rate for A/D modules is programmable from 62.5 kHz to
8 MHz, and the number of samples accumulated is programmable from
1 to 4095.  The variable sample rate is achieved by dividing down
a 16-MHz base clock (IC28) (via cascaded binary counters IC25 and
IC26) with a value stored in a latch (IC21).  Due to timing
synchronization, the base clock frequency is always divided down
by one more than the value stored in the latch (IC21).
to zero from the value stored in the latch, a borrow is generated
(IC26-13) which clocks flip-flop IC30.  The high out on IC30-12
is the high period of the conversion clock and is gated with the
base 16-MHz clock to allow a 31.25-ns high pulse before resetting
IC30.  At the same time IC30-13 is low, which reloads the
cascaded counters (IC25 and IC26) with their original count value
to restart the process.
This process goes on continually, with the high state of the
continuous clock IC30-12 at a fixed period of 31.25 ns but with
the low state varying based on sample rate.  (This non-
symmetrical duty cycle is necessary to meet A/D module and FIFO
set-up specs.)
The continuous conversion clock IC30-12 is present at the
synchronization flip-flop IC29-5.  Therefore, as soon as a source
fire sync (IC29-1) is issued by the microcontroller (IC1-46) to
initiate the start of an acquisition cycle, the conversion clock
is immediately enabled (IC29-9).
This rising edge fire sync (IC29-9) is sent to the mandrel to
fire the transmitter, as well as to enable the A/D converter
clock (IC31-8).  The fire sync is routed through a level
translator (IC6-3) where it is sent to the mandrel at a 15-volt
level (IC6-4).
Once the converter clock is enabled (IC3-8), it decrements the
sample counters (cascaded binary counters IC22, IC23, IC24)
which--when decremented to zero (end of sample accumulation)--
cause a borrow (IC24-13) that disables the A/D conversion clock.
These sample counters are loaded with the number of samples to
accumulate (1 to 4095) prior to each transmitter firing
(acquisition cycle).  The converter clock is buffered by IC41
where it is available on the I/O bus.
21
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION


22
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION
3.3.6
SERIAL COMMUNICATIONS
The CPU Board has two serial communication interfaces with
external peripheral devices.  Each uses three lines to control
the transfer of data.
MANDREL COMMUNICATION INTERFACE
-------------------------------
The 1633 EA uses one of these serial interfaces for the control of
transmitter, receiver, and gain selections in the mandrel.  The
lines for this interface are summarized below:
R/W ----- (IC1-47 P1.6) ----- Controls direction of data
transfer (i.e., send or
receive).
DATA ---- (IC1-48 P1.5) ----- Serial data transmission line.
Provides serial data out.
(IC1-6  P0.3) ----- Serial data transmission line.
Receives serial data.
CLOCK --- (IC1-55 P1.4) ----- Clocks data into and from
remote serial devices at
approximately 100 kHz.  Data
is shifted on the rising edge.
The above lines are routed through a level translator (IC6)
that steps up signals leaving the CPU Board to +15 V.
Incoming serial data is routed through a step-down
translator (IC39), with the serial R/W line controlling
which translator is enabled.  A set- up sequence is executed
before each acquisition which consists of setting the
correct receiver, transmitter, and gain selections.
AUXILIARY DATA COMMUNICATION INTERFACE
--------------------------------------
The 1633 EA uses the other serial interface to read auxiliary data
(e.g., GR, N, or CN) from the RUC Interface Board C143319.
RCMD -----(IC1-57 P1.2) ----- This line serves as a command
control or R/W line.
RDAT ---- (IC1-58 P1.1) ----- This is a bi-directional
serial data transmission line.
RCLK ---
(IC1-59 P1.0) ----- Clocks serial data into or
from remote serial devices at
approximately 100 kHz."
1633EA-SBT-AMO,"Circuit Description - RCMD 1C1, PIN 57","27
RCMD 1 C1, PIN 57
RCLK  IC1, PIN 59
RDAT  IC1, PIN 58
CBLHD  IC1, PIN 3
(CBLHD)
To RUC
chips, pins
1, 5 & 14
TOP
SUB
FLASK
CONNECTOR
BOARD
143328
RUC
BOARD
TERMINAL
BOARD
148669
CONNECTOR
BOARD 143320
CPU
BOARD
POWER SUPPLY CHASSIS
FLASKED ELECTRONICS
7
1633 EA ACOUSTIC ELECTRONICS -- CIRCUIT DESCRIPTION"
1633EA-SBT-AMO,Mechanical Description - ,"1 
 
1633 EA ACOUSTIC ELECTRONICS -- MECHANICAL DESCRIPTION 
 
Refer to drawing R152302. 
 
The 1633 EA is housed in a 3.38-inch O.D. housing with an I.D. of 2.75 inches and a length of 
84 inches.  
 
 
The top sub has standard 3.38-inch WTS threads (AP-108) which mate with the housing, and 
standard 3.38-inch (AP-43) outer threads which mate to the standard Western Atlas cablehead. 
The bottom sub is a standard 3.38-inch WTS joint.  
 
The top sub allows 0.30 inch of thermal expansion for the enclosed electronics. A vacuum flask 
2.5 inches O.D. by 42 inches long houses the CPU, Distribution, and Two-Channel 8-bit A/D 
boards. The heat sink contains 10 pounds of Cerrobend alloy to absorb heat and slow the 
heating process.  
 
Install a “dummy” flask (P/N F197172000) as required, where the temperature difference 
between the borehole environment and the electronics rating of less than 257°F (125°C) will 
allow advantageous heat transfer and dissipation to the borehole. 
 
Both the external and internal electronics are supported by an H-beam type chassis. 
 
Last 4 Revisions 
Rev 
RDR 
Amendment Detail 
Reviewer 
Approver 
Approval Date 
A 
2776 
Added paragraph to install a “dummy” flask as required (DRR 186) 
E. Rojo 
G. Barton 
2-Mar-2015 
Sep-91 
NA 
Document migrated from legacy system (OTM) 
-- 
-- 
1-Sep-1991 
 
 
 
 
 
 
 
 
 
 
 
 
 
Copyright 2015 BAKER HUGHES INCORPORATED—Unpublished—This document (together with the information thereon) is the property of Baker Hughes Incorporated (Baker 
Hughes). By accepting or accessing this document the recipient agrees this document (together with its contents) is confidential and is an unpublished copyright work with all 
rights reserved to Baker Hughes and is further subject to return on demand. It may not be copied, reproduced, or disclosed in any form, in whole or in part, without express 
consent of Baker Hughes. It may not be used directly or indirectly in any way detrimental to Baker’s interest and is not rented, loaned or sold, either alone or in conjunction with 
equipment or product, and does not comprise a part of any customer project or service. 
 
P/N 130364-946"
1633EA-SBT-AMO,Disassembly/Assembly Procedures - REQUIREMENTS . . . . . . . . . . . . . . . .   2 1.1 EQUIPMENT,"1
REQUIREMENTS 2
1
REQUIREMENTS 

EQUIPMENT
o
T-Handle 1/4 -20 thread (#056036)
o
Assorted Allen Wrenches and Screwdrivers
o
32-pin bulkhead inserter
o
Pin wrench
o
Strap wrench"
1633EA-SBT-AMO,Disassembly/Assembly Procedures - 1.2 REFERENCE DRAWINGS . . . . . . . . . . . .   2 ASSEMBLY PROCEDURES,"REFERENCE DRAWINGS
1633 EA Electronics Assembly R151203-000
1633 EA Mechanical Assembly
R152302-000
Vacuum Flask Assembly D150316-000
1633 EA Power Supply Assembly
R149266-000
Pigtail and Ribbon Assembly D150317-000
Bottom Sub Assembly for WTS C148965-000
Top Sub Assembly for WTS
C148957-000 2
ASSEMBLY PROCEDURES
2
2
ASSEMBLY PROCEDURES"
